z_mm,clip_x_um,clip_y_um,clip_major_um,clip_minor_um,ellipticity_major_over_minor,total_power
55.8,873.2,811.8,873.2,811.8,1.0756343927075636,64.34
101.6,1050.5,960.4,1050.5,960.4,1.0938150770512287,64.48
152.39999999999998,1254.5,1142.2,1254.5,1142.2,1.0983190334442303,64.56
203.2,1451.7,1326.8,1451.7,1326.8,1.0941362677117878,64.72
254.0,1673.2,1531.6,1673.2,1531.6,1.0924523374249153,64.73
304.79999999999995,1875.4,1720.5,1875.4,1720.5,1.0900319674513224,64.76
355.59999999999997,2102.0,1910.4,2102.0,1910.4,1.100293132328308,65.03
406.4,2315.7,2102.3,2315.7,2102.3,1.1015078723303047,65.17
457.2,2519.1,2287.5,2519.1,2287.5,1.1012459016393443,65.2
508.0,2717.3,2472.1,2717.3,2472.1,1.0991869260952227,65.19
558.8,2914.8,2645.9,2914.8,2645.9,1.1016289353339128,65.16
609.5999999999999,3124.7,2836.9,3124.7,2836.9,1.1014487644964572,65.21
660.4,3329.6,3040.0,3329.6,3040.0,1.0952631578947367,65.23
711.1999999999999,3526.3,3229.1,3526.3,3229.1,1.0920380291722152,65.23
762.0,3722.8,3422.8,3722.8,3422.8,1.08764754002571,65.16
812.8,3940.3,3602.3,3940.3,3602.3,1.0938289426199928,65.25
863.5999999999999,4162.3,3786.2,4162.3,3786.2,1.0993344250171677,65.24
914.4,4361.4,3965.1,4361.4,3965.1,1.0999470379057275,65.23
965.1999999999999,4565.4,4156.1,4565.4,4156.1,1.0984817497172827,65.22
1016.0,4772.1,4350.8,4772.1,4350.8,1.0968327663877908,65.14
1066.8,4937.7,4516.8,4937.7,4516.8,1.093185441020191,65.1
1117.6,5149.9,4706.7,5149.9,4706.7,1.0941636390677119,64.97
1168.3999999999999,5355.0,4894.5,5355.0,4894.5,1.094085197670855,64.79
1219.1999999999998,5530.9,5073.2,5530.9,5073.2,1.0902191910431285,64.78
1270.0,5715.2,5250.8,5715.2,5250.8,1.0884436657271273,64.72
