file,z_from_name,Dx_1e2_um,Dy_1e2_um,D_major_1e2_um,D_minor_1e2_um,ellipticity_major_over_minor
1025.csv,1025.0,4881.906220504,4426.43502004,4881.906220504,4426.43502004,0.9067021815062688
1150.csv,1150.0,5363.206701426667,4876.8295048166665,5363.206701426667,4876.8295048166665,0.9093122410365763
1225.csv,1225.0,5637.51645232,5126.669405905999,5637.51645232,5126.669405905999,0.9093843803854847
1350.csv,1350.0,6083.103597114001,5549.5271732072,6083.103597114001,5549.5271732072,0.9122854945031768
1475.csv,1475.0,6408.216302293333,5899.6067413616,6408.216302293333,5899.6067413616,0.9206316489738783
150.csv,150.0,1244.263614153,1134.59500052,1244.263614153,1134.59500052,0.9118606279364249
275.csv,275.0,1779.70938166,1612.9172227364286,1779.70938166,1612.9172227364286,0.9062812385873933
400.csv,400.0,2306.6405462575,2098.515201647,2306.6405462575,2098.515201647,0.9097712277068133
525.csv,525.0,2835.033623246667,2561.1651094999997,2835.033623246667,2561.1651094999997,0.9033984953472847
650.csv,650.0,3344.77434808,3024.210104936,3344.77434808,3024.210104936,0.9041596802104114
775.csv,775.0,3883.80328285,3497.6873195633334,3883.80328285,3497.6873195633334,0.9005830277265412
900.csv,900.0,4394.645212646667,3965.2903861333334,4394.645212646667,3965.2903861333334,0.9023004575482545
